frameid;landmark;x;y;abs_x;abs_y
;;;;;
0;0;3,30193E+16;4,53921E+16;2,11324E+15;2,17882E+16
;;;;;
0;1;3,35386E+15;4,02862E+16;2,14647E+15;1,93374E+15
;;;;;
0;2;3,33938E+16;4,17972E+15;2,1372E+16;2,00627E+15
;;;;;
0;3;3,31703E+15;3,65679E+15;2,1229E+16;1,75526E+16
;;;;;
0;4;3,36502E+15;3,90585E+15;2,15361E+16;1,87481E+16
;;;;;
0;5;3,37851E+15;3,76247E+15;2,16225E+15;1,80598E+16
;;;;;
0;6;3,40996E+15;3,43634E+16;2,18237E+15;1,64944E+15
;;;;;
0;7;2,79695E+15;3,35735E+15;1,79005E+16;1,61153E+14
;;;;;
0;8;3,43133E+15;3,20878E+16;2,19605E+16;1,54021E+16
;;;;;
0;9;3,44493E+16;3,06563E+16;2,20476E+15;1,4715E+15
;;;;;
0;10;3,4968E+15;2,57961E+15;2,23795E+16;1,23821E+16
;;;;;
0;11;3,29777E+16;4,58297E+15;2,11057E+16;2,19983E+15
;;;;;
0;12;3,29498E+15;4,62973E+15;2,10879E+15;2,22227E+16
;;;;;
0;13;3,29478E+15;4,66361E+15;2,10866E+16;2,23853E+15
;;;;;
0;14;3,29281E+14;4,66865E+14;2,1074E+16;2,24095E+16
;;;;;
0;15;3,28989E+15;4,69808E+16;2,10553E+16;2,25508E+16
;;;;;
0;16;3,28597E+16;4,73723E+16;2,10302E+16;2,27387E+15
;;;;;
0;17;3,28265E+15;4,78647E+15;2,1009E+16;2,29751E+14
;;;;;
0;18;3,26852E+16;4,98746E+16;2,09185E+15;2,39398E+16
;;;;;
0;19;3,34684E+16;4,10091E+15;2,14198E+16;1,96844E+16
;;;;;
0;20;3,26647E+15;4,09751E+16;2,09054E+14;1,96681E+16
;;;;;
0;21;2,51267E+14;3,00465E+16;1,60811E+16;1,44223E+16
;;;;;
0;22;3,03885E+16;3,48182E+16;1,94486E+16;1,67127E+15
;;;;;
0;23;2,96103E+16;3,48865E+15;1,89506E+16;1,67455E+15
;;;;;
0;24;2,88094E+15;3,47997E+15;1,8438E+16;1,67039E+16
;;;;;
0;25;2,76203E+16;3,39274E+16;1,7677E+16;1,62852E+16
;;;;;
0;26;3,10057E+15;3,45803E+16;1,98436E+16;1,65986E+16
;;;;;
0;27;2,92702E+15;3,09076E+15;1,87329E+16;1,48356E+16
;;;;;
0;28;3,023E+15;3,11802E+15;1,93472E+15;1,49665E+16
;;;;;
0;29;2,83582E+15;3,10947E+14;1,81493E+16;1,49255E+16
;;;;;
0;30;2,77312E+16;3,16347E+16;1,7748E+16;1,51846E+16
;;;;;
0;31;2,69894E+15;3,47476E+15;1,72732E+16;1,66788E+16
;;;;;
0;32;2,91765E+15;5,16109E+15;1,8673E+16;2,47732E+16
;;;;;
0;33;2,76053E+15;3,30972E+15;1,76674E+16;1,58867E+16
;;;;;
0;34;2,44243E+15;3,48163E+16;1,56315E+16;1,67118E+16
;;;;;
0;35;2,59897E+16;3,38858E+16;1,66334E+16;1,62652E+15
;;;;;
0;36;2,95255E+15;3,9586E+15;1,88963E+15;1,90013E+16
;;;;;
0;37;3,21473E+16;4,50495E+15;2,05743E+16;2,16238E+16
;;;;;
0;38;3,21704E+16;4,61761E+15;2,0589E+16;2,21645E+15
;;;;;
0;39;3,12457E+16;4,54054E+16;1,99972E+16;2,17946E+16
;;;;;
0;40;3,06476E+15;4,58814E+16;1,96144E+15;2,20231E+16
;;;;;
0;41;3,15041E+15;4,62119E+15;2,01626E+16;2,21817E+16
;;;;;
0;42;3,09708E+15;4,63642E+16;1,98213E+16;2,22548E+16
;;;;;
0;43;2,91016E+15;4,75227E+15;1,8625E+16;2,28109E+16
;;;;;
0;44;3,28173E+16;4,01571E+16;2,1003E+16;1,92754E+16
;;;;;
0;45;3,2824E+16;3,89801E+16;2,10073E+16;1,87105E+15
;;;;;
0;46;2,66999E+15;3,07401E+15;1,7088E+15;1,47553E+16
;;;;;
0;47;3,14197E+15;3,68657E+16;2,01086E+16;1,76955E+16
;;;;;
0;48;3,09286E+15;3,99524E+15;1,97943E+16;1,91772E+15
;;;;;
0;49;3,09447E+16;3,94069E+15;1,98046E+16;1,89153E+16
;;;;;
0;50;2,71132E+16;3,93855E+16;1,73524E+16;1,89051E+15
;;;;;
0;51;3,30053E+16;3,76575E+16;2,11234E+14;1,80756E+16
;;;;;
0;52;2,88364E+15;2,93499E+15;1,84553E+15;1,40879E+15
;;;;;
0;53;2,76135E+16;2,98026E+15;1,76727E+16;1,43052E+16
;;;;;
0;54;2,62424E+16;2,79696E+16;1,67951E+16;1,34254E+16
;;;;;
0;55;3,24255E+16;3,07397E+16;2,07523E+16;1,47551E+16
;;;;;
0;56;3,09851E+16;3,18811E+15;1,98305E+16;1,53029E+15
;;;;;
